,job_title,company_name,company_location,work_method,role,bachelor,masters,phd,no_diploma,python,sql,nosql,java,julia,matlab,tensorflow,tableau,powerbi,qlikview,excel,cloud,work_type
0,Data Architect (AWS),Tata Consultancy Services,"São Paulo, Brasil",Remoto,Cientista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
1,Staff Data Engineer - Machine Learning Platform,Spotify,Brasil,Remoto,Engenheiro de Dados,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,Tempo integral
5,Data Scientist - Remote - Latin America,FullStack Labs,Brasil,Presencial,Cientista de Dados,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Tempo integral
6,Analista Omnichannel Insights Pleno,Pfizer,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Tempo integral
7,Especialista de Dados,Prudential Financial,"Rio de Janeiro, Rio de Janeiro, Brasil",Híbrido,Cientista de Dados,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,Tempo integral
9,Banco de Talentos | Dados & Analytics,Accenture Brasil,Belo Horizonte e Região,Remoto,Analista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
10,Pessoa Executiva Digital I – Negócios em Publicidade | Mais pessoas com deficiência na Globo! 🦾,Globo,"São Paulo, São Paulo, Brasil",Presencial,Cientista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
12,BI Analyst,"Chima Steakhouse, BBS USA","Uberlândia, Minas Gerais, Brasil",Presencial,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Tempo integral
14,Analista de Talento & Cultura Jr - (19026),Rosewood São Paulo,São Paulo e Região,Híbrido,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
16,Data Analyst Internship - Brazil,Viasat Inc.,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
