job_title,company_name,company_location,work_method,post_date,work_time
Application Developer - Microsoft Analytics (Remoto),IBM,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral
Data Analyst Internship - Brazil,Viasat Inc.,"São Paulo, São Paulo, Brasil",Híbrido,há 2 meses,Tempo integral
Estágio - Data Analytics,Grupo GCB,"São Paulo, São Paulo, Brasil",Presencial,há 1 semana,Tempo integral · Assistente
DATA ARCHITECTURE JR. MANAGER - STRATEGY & DIGITAL - IM (SP),Novartis Brasil,"São Paulo, São Paulo, Brasil",Híbrido,há 6 dias,Tempo integral · Júnior
"Insights Analyst (Bangkok Based, relocation provided)",Agoda,"São Paulo, São Paulo, Brasil",Presencial,há 1 semana,Tempo integral
Analista de Risco e Modelagem Jr.,PagBank PagSeguro,São Paulo e Região,Presencial,há 4 dias,Tempo integral · Estágio
Analista de Business Intelligence Júnior,Itapeva Recuperação de Créditos,"São Paulo, São Paulo, Brasil",Presencial,há 3 semanas,Tempo integral
ESTÁGIO EM BUSINESS INTELLIGENCE [SP],Soul Trade Marketing,"São Paulo, São Paulo, Brasil",Presencial,há 3 semanas,Tempo integral
Estagiário de Tecnologia da Informação,Sanity,"São Paulo, São Paulo, Brasil",Presencial,há 1 semana,Tempo integral · Estágio
ESTÁGIO EM ANÁLISE DE DADOS - BI,Movida Aluguel de Carros,"São Paulo, São Paulo, Brasil",Remoto,há 4 dias,Tempo integral
Estágio - Data Science RJ,Visagio,"Rio de Janeiro, Rio de Janeiro, Brasil",Remoto,há 3 dias,Tempo integral · Pleno-sênior
Estagiário,Vertem,"Barueri, São Paulo, Brasil",Presencial,há 1 mês,R$ 0/month - R$ 1.000/month · Tempo integral · Assistente
Data Analytics,Cognizant,"São Paulo, São Paulo, Brasil",Presencial,há 3 dias,Estágio · Estágio
Data Engineer - Data Modeling AD/DBA (Home Office),IBM,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Estágio · Estágio
"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,São Paulo e Região,Remoto,há 2 semanas,Tempo integral · Pleno-sênior
Data Engineer | Remoto,INTERA | Talent Hacking,Brasil,Remoto,há 1 semana,Tempo integral
Estágio em Analista de Dados,Referência Seguros,"Brasília, Distrito Federal, Brasil",Presencial,há 3 dias,Tempo integral
Data Analytics Associate,Alvarez & Marsal,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Estágio · Estágio
